name,site,layer,date_in,date_out,hobo_id,time_in,time_out,sensor_depth,site_depth,acryllic,flag,comments,row
cs_ben_20Aug2018_04Jun2019_A,cs,ben,2018-08-20,2019-06-04,A,NA,NA,NA,NA,n,1,hobo affixed to top of rack,1
cs_ben_20Aug2018_04Jun2019_B,cs,ben,2018-08-20,2019-06-04,B,NA,NA,NA,NA,n,1,hobo affixed to top of rack,2
e1_ben_20Aug2018_04Jun2019_A,e1,ben,2018-08-20,2019-06-04,A,NA,NA,2.2,2.7,n,0,hobo affixed to top of rack,5
e1_ben_20Aug2018_04Jun2019_B,e1,ben,2018-08-20,2019-06-04,B,NA,NA,2.2,2.7,n,0,hobo affixed to top of rack,6
e1_ben_22Aug2017_29May2018_A,e1,ben,2017-08-22,2018-05-29,A,NA,NA,NA,2.7,NA,1,hobo attached gray box?,3
e1_ben_22Aug2017_29May2018_B,e1,ben,2017-08-22,2018-05-29,B,NA,NA,NA,2.7,NA,1,hobo attached gray box?,4
e5_ben_13Jun2019_15Aug2019,e5,ben,2019-06-13,2019-08-15,NA,NA,NA,2,2.5,n,0,hobo affixed to top of rack,9
e5_ben_20Aug2018_03Jun2019_B,e5,ben,2018-08-20,2019-06-03,B,NA,NA,2,2.5,n,0,hobo affixed to top of rack,7
e5_ben_20Aug2018_04Jun2019_A,e5,ben,2018-08-20,2019-06-04,A,NA,NA,2,2.5,n,0,hobo affixed to top of rack,8
e5_pel_13Jun2019_15Aug2019,e5,pel,2019-06-13,2019-08-15,NA,NA,NA,1,2.5,y,0,hobo in tube on cord,10
grim_ben_13Jun2018_18Jul2018,grim,ben,2018-06-13,2018-07-18,NA,NA,NA,5.1,5.1,y,0,hobo attached to base of minidot rack,11
grim_ben_16Jun2019_15Aug2019,grim,ben,2019-06-16,2019-08-15,NA,NA,NA,6,6.5,n,0,hobo affixed to top of rack,13
grim_ben_17Jul2018_16Aug2018,grim,ben,2018-07-17,2018-08-16,NA,NA,NA,5.1,5.1,y,0,hobo attached to base of minidot rack,12
grim_pel_13Jun2018_18Jul2018,grim,pel,2018-06-13,2018-07-18,NA,NA,NA,1,5.1,y,0,hobo in tube on cord,14
grim_pel_16Jun2019_15Aug2019,grim,pel,2019-06-16,2019-08-15,NA,NA,NA,1,6.5,y,0,hobo in tube on cord,16
grim_pel_17Jul2018_16Aug2018,grim,pel,2018-07-17,2018-08-16,NA,NA,NA,1,5.1,y,0,hobo in tube on cord,15
reyk_ben_13Jun2018_18Jul2018,reyk,ben,2018-06-13,2018-07-18,NA,NA,NA,4.25,4.25,y,0,hobo attached to base of minidot rack,17
reyk_ben_16Jun2019_15Aug2019,reyk,ben,2019-06-16,2019-08-15,NA,NA,NA,3.8,4.3,n,0,hobo affixed to top of rack,21
reyk_ben_17Jul2018_16Aug2018,reyk,ben,2018-07-17,2018-08-16,NA,NA,NA,4.25,4.25,y,0,hobo attached to base of minidot rack,18
reyk_ben_20Aug2018_04Jun2019_A,reyk,ben,2018-08-20,2019-06-04,A,NA,NA,3.8,4.3,n,0,hobo affixed to top of rack,19
reyk_ben_20Aug2018_04Jun2019_B,reyk,ben,2018-08-20,2019-06-04,B,NA,NA,3.8,4.3,n,0,hobo affixed to top of rack,20
reyk_pel_13Jun2018_18Jul2018,reyk,pel,2018-06-13,2018-07-18,NA,NA,NA,1,4.25,y,0,hobo in tube on cord,22
reyk_pel_16Jun2019_15Aug2019,reyk,pel,2019-06-16,2019-08-15,NA,NA,NA,1,4.3,y,0,hobo in tube on cord,24
reyk_pel_17Jul2018_16Aug2018,reyk,pel,2018-07-17,2018-08-16,NA,NA,NA,1,4.25,y,0,hobo in tube on cord,23
st33_ben_13Jun2018_16Aug2018,st33,ben,2018-06-13,2018-08-16,NA,NA,NA,3.3,3.3,y,0,hobo attached to base of minidot rack,27
st33_ben_13Jun2019_15Aug2019,st33,ben,2019-06-13,2019-08-15,NA,NA,NA,2.8,3.3,n,0,hobo affixed to top of rack,30
st33_ben_20Aug2018_04Jun2019_A,st33,ben,2018-08-20,2019-06-04,A,NA,NA,2.8,3.3,n,0,hobo affixed to top of rack,28
st33_ben_20Aug2018_04Jun2019_B,st33,ben,2018-08-20,2019-06-04,B,NA,NA,2.8,3.3,n,0,hobo affixed to top of rack,29
st33_ben_22Aug2017_29May2018_B,st33,ben,2017-08-22,2018-05-29,B,NA,NA,NA,3.3,NA,1,hobo attached gray box?,25
st33_ben_22Aug2017_31May2018_A,st33,ben,2017-08-22,2018-05-31,A,NA,NA,NA,3.3,NA,1,hobo attached gray box?,26
st33_out_11Jul2015_21Aug2015,st33,out,2015-07-11,2015-08-21,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,33
st33_out_13May2013_21Aug2013,st33,out,2013-05-13,2013-08-21,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,31
st33_out_17Jul2017_20Aug2017,st33,out,2017-07-17,2017-08-20,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,35
st33_out_20Aug2017_05Oct2017,st33,out,2017-08-20,2017-10-05,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,36
st33_out_21Jul2018_18Aug2018,st33,out,2018-07-21,2018-08-18,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,38
st33_out_21May2018_21Jul2018,st33,out,2018-05-21,2018-07-21,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,37
st33_out_22Jul2019_15Aug2019,st33,out,2019-07-22,2019-08-15,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,40
st33_out_24May2015_15Jul2015,st33,out,2015-05-24,2015-07-15,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,32
st33_out_25May2017_17Jul2017,st33,out,2017-05-25,2017-07-17,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,34
st33_out_27May2016_21Jul2016,st33,out,2016-05-27,2016-07-21,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,42
st33_out_31May2019_23Jul2019,st33,out,2019-05-31,2019-07-23,NA,NA,NA,-1,3.3,n,0,hobo attached to top of sonde buoy,39
st33_pel_13Jun2018_16Aug2018,st33,pel,2018-06-13,2018-08-16,NA,NA,NA,1,3.3,y,0,hobo in tube on cord,41
